date,open,high,low,close,volume,amount,tradable,is_st,is_delisted
2018-01-02,30.21,30.73,29.29,29.34,4087985,119941479.9,1,0,0
2018-01-03,29.79,30.47,29.26,29.78,6427270,191404100.6,1,0,0
2018-01-04,29.9,30.21,29.44,29.48,8659694,255287779.12,1,0,0
2018-01-05,29.58,29.85,27.51,27.55,5897718,162482130.9,1,0,0
2018-01-08,27.52,27.6,26.22,26.66,6413657,170988095.62,1,0,0
2018-01-09,26.44,26.56,26.13,26.22,5076114,133095709.08,1,0,0
2018-01-10,25.85,26.06,24.65,24.84,13494636,335206758.24,1,0,0
2018-01-11,24.89,25.15,23.97,24.01,12044755,289194567.55,1,0,0
2018-01-12,23.94,24.16,23.51,23.61,10859676,256396950.36,1,0,0
2018-01-15,23.89,23.99,22.72,22.8,4540904,103532611.2,1,0,0
2018-01-16,22.75,23.07,21.71,21.76,5746751,125049301.76,1,0,0
2018-01-17,21.45,21.63,21.25,21.28,3680599,78323146.72,1,0,0
2018-01-18,21.3,22.0,20.12,20.23,9037166,182821868.18,1,0,0
2018-01-19,20.39,20.5,18.37,18.8,14293850,268724380.0,1,0,0
2018-01-22,18.63,18.66,18.4,18.4,13016978,239512395.2,1,0,0
2018-01-23,17.92,18.0,17.08,17.57,3452258,60656173.06,1,0,0
2018-01-24,17.47,17.54,16.51,16.62,2456542,40827728.04,1,0,0
2018-01-25,16.43,16.6,16.15,16.24,12197051,198080108.24,1,0,0
2018-01-26,16.3,16.5,15.58,15.65,9582684,149969004.6,1,0,0
2018-01-29,15.67,16.03,15.11,15.27,14259295,217739434.65,1,0,0
2018-01-30,15.29,15.39,14.46,14.94,5742966,85799912.04,1,0,0
2018-01-31,14.74,14.95,14.46,14.56,2847481,41459323.36,1,0,0
2018-02-01,14.46,14.67,13.22,13.26,13782980,182762314.8,1,0,0
2018-02-02,13.25,13.55,12.2,12.51,13651386,170778838.86,1,0,0
2018-02-05,12.32,12.39,12.12,12.16,10522369,127952007.04,1,0,0
2018-02-06,12.08,12.21,11.37,11.51,4941429,56875847.79,1,0,0
2018-02-07,11.57,11.89,11.41,11.87,11738090,139331128.3,1,0,0
2018-02-08,11.87,12.03,11.11,11.21,8202074,91945249.54,1,0,0
2018-02-09,11.19,11.19,11.07,11.13,3486388,38803498.44,1,0,0
2018-02-12,11.14,11.37,10.01,10.02,6626638,66398912.76,1,0,0
2018-02-13,9.97,10.12,9.92,10.05,2066086,20764164.3,1,0,0
2018-02-14,10.14,10.23,9.5,9.65,12128627,117041250.55,1,0,0
2018-02-15,9.6,9.81,9.55,9.73,14665332,142693680.36,1,0,0
2018-02-16,9.54,9.86,9.45,9.84,3768973,37086694.32,1,0,0
2018-02-19,9.92,9.95,8.96,9.06,5529508,50097342.48,1,0,0
2018-02-20,9.03,9.25,8.57,8.67,8371282,72579014.94,1,0,0
2018-02-21,8.75,8.99,8.67,8.96,4676217,41898904.32,1,0,0
2018-02-22,8.91,9.2,8.85,9.02,8602028,77590292.56,1,0,0
2018-02-23,8.94,9.15,8.54,8.7,6967936,60621043.2,1,0,0
2018-02-26,8.65,8.88,8.55,8.79,5056981,44450862.99,1,0,0
2018-02-27,8.79,8.79,8.56,8.61,7262842,62533069.62,1,0,0
2018-02-28,8.66,8.72,8.39,8.42,7423127,62502729.34,1,0,0
2018-03-01,8.36,8.75,8.3,8.67,8432163,73106853.21,1,0,0
2018-03-02,8.57,8.6,8.09,8.11,13127056,106460424.16,1,0,0
2018-03-05,8.07,8.23,7.86,7.91,13107483,103680190.53,1,0,0
2018-03-06,7.87,7.91,7.2,7.25,5113006,37069293.5,1,0,0
2018-03-07,7.14,7.18,7.08,7.17,14418414,103380028.38,1,0,0
2018-03-08,7.26,7.44,7.12,7.33,12166960,89183816.8,1,0,0
2018-03-09,7.35,7.61,7.32,7.49,14744797,110438529.53,1,0,0
2018-03-12,7.55,7.58,6.94,7.02,14845413,104214799.26,1,0,0
2018-03-13,7.04,7.08,6.84,6.87,10405193,71483675.91,1,0,0
2018-03-14,6.85,7.0,6.83,6.88,12532461,86223331.68,1,0,0
2018-03-15,6.89,6.91,6.3,6.35,10200448,64772844.8,1,0,0
2018-03-16,6.42,6.61,6.3,6.52,6332923,41290657.96,1,0,0
2018-03-19,6.6,6.62,6.1,6.1,11921214,72719405.4,1,0,0
2018-03-20,6.1,6.14,5.75,5.75,9615068,55286641.0,1,0,0
2018-03-21,5.76,5.89,5.46,5.48,9907728,54294349.44,1,0,0
2018-03-22,5.48,5.52,5.28,5.3,6108431,32374684.3,1,0,0
2018-03-23,5.37,5.39,5.2,5.25,8438474,44301988.5,1,0,0
2018-03-26,5.35,5.39,5.32,5.35,4381371,23440334.85,1,0,0
2018-03-27,5.4,5.47,5.32,5.46,7069661,38600349.06,1,0,0
2018-03-28,5.46,5.49,5.43,5.48,4963364,27199234.72,1,0,0
2018-03-29,5.43,5.54,5.41,5.46,12909903,70488070.38,1,0,0
2018-03-30,5.53,5.54,5.51,5.53,8744973,48359700.69,1,0,0
2018-04-02,5.47,5.48,5.4,5.42,9223973,49993933.66,1,0,0
2018-04-03,5.31,5.57,5.31,5.5,4265126,23458193.0,1,0,0
2018-04-04,5.46,5.47,4.91,5.01,13916659,69722461.59,1,0,0
2018-04-05,5.02,5.1,4.77,4.79,9834174,47105693.46,1,0,0
2018-04-06,4.73,4.79,4.53,4.6,10829415,49815309.0,1,0,0
2018-04-09,4.64,4.66,4.55,4.64,10802297,50122658.08,1,0,0
