date,open,high,low,close,volume,amount,tradable,is_st,is_delisted
2018-01-02,14.91,14.98,14.44,14.51,2902652,42117480.52,1,0,0
2018-01-03,14.41,14.48,14.02,14.09,1182891,16666934.19,1,0,0
2018-01-04,13.8,13.87,13.12,13.19,1272769,16787823.11,1,0,0
2018-01-05,13.07,13.55,13.0,13.48,2609370,35174307.6,1,0,0
2018-01-08,13.5,13.86,13.43,13.79,842833,11622667.07,1,0,0
2018-01-09,13.96,14.03,13.44,13.51,4650140,62823391.4,1,0,0
2018-01-10,13.63,13.7,13.42,13.49,1788952,24132962.48,1,0,0
2018-01-11,13.78,13.85,13.32,13.39,4184011,56023907.29,1,0,0
2018-01-12,13.46,13.53,13.38,13.45,4214481,56684769.45,1,0,0
2018-01-15,13.41,13.48,13.13,13.2,1790761,23638045.2,1,0,0
2018-01-16,13.36,13.47,13.29,13.4,3788830,50770322.0,1,0,0
2018-01-17,13.53,13.6,13.44,13.51,2104714,28434686.14,1,0,0
2018-01-18,13.5,13.57,13.25,13.32,1885762,25118349.84,1,0,0
2018-01-19,13.45,13.52,12.77,12.83,721908,9262079.64,1,0,0
2018-01-22,12.57,12.98,12.51,12.92,1197582,15472759.44,1,0,0
2018-01-23,13.04,13.28,12.97,13.21,3932666,51950517.86,1,0,0
2018-01-24,13.17,14.14,13.1,14.07,1659095,23343466.65,1,0,0
2018-01-25,14.1,14.17,13.9,13.97,2203061,30776762.17,1,0,0
2018-01-26,14.03,14.25,13.96,14.18,1091919,15483411.42,1,0,0
2018-01-29,14.26,14.33,14.1,14.17,2088343,29591820.31,1,0,0
2018-01-30,13.94,14.01,13.77,13.84,541162,7489682.08,1,0,0
2018-01-31,13.96,14.03,13.31,13.38,2148583,28748040.54,1,0,0
2018-02-01,13.18,13.42,13.11,13.35,3910761,52208659.35,1,0,0
2018-02-02,13.14,13.21,12.63,12.69,2365352,30016316.88,1,0,0
2018-02-05,12.72,12.78,12.36,12.42,3954793,49118529.06,1,0,0
2018-02-06,12.48,12.54,11.86,11.92,2628781,31335069.52,1,0,0
2018-02-07,12.06,12.12,11.97,12.03,1205531,14502537.93,1,0,0
2018-02-08,11.91,12.03,11.85,11.97,2780285,33280011.45,1,0,0
2018-02-09,11.98,12.23,11.92,12.17,1069212,13012310.04,1,0,0
2018-02-12,12.18,12.24,11.92,11.98,520151,6231408.98,1,0,0
2018-02-13,11.88,12.15,11.82,12.09,4888030,59096282.7,1,0,0
2018-02-14,12.21,12.43,12.15,12.37,4722458,58416805.46,1,0,0
2018-02-15,12.34,12.4,11.79,11.85,4737843,56143439.55,1,0,0
2018-02-16,11.74,12.36,11.68,12.3,2115559,26021375.7,1,0,0
2018-02-19,12.36,12.42,12.27,12.33,3108401,38326584.33,1,0,0
2018-02-20,12.31,12.37,11.85,11.91,1301507,15500948.37,1,0,0
2018-02-21,11.87,11.93,11.62,11.68,3619866,42280034.88,1,0,0
2018-02-22,11.76,11.82,11.52,11.58,1148925,13304551.5,1,0,0
2018-02-23,11.69,11.75,11.05,11.11,1706221,18956115.31,1,0,0
2018-02-26,11.14,11.2,10.69,10.74,4783158,51371116.92,1,0,0
2018-02-27,10.66,10.9,10.61,10.85,1466960,15916516.0,1,0,0
2018-02-28,10.84,10.89,10.59,10.64,2361380,25125083.2,1,0,0
2018-03-01,10.72,10.77,10.41,10.46,3843306,40200980.76,1,0,0
2018-03-02,10.3,10.45,10.25,10.4,4816300,50089520.0,1,0,0
2018-03-05,10.43,10.48,10.02,10.07,4022957,40511176.99,1,0,0
2018-03-06,10.15,10.2,9.74,9.79,2942877,28810765.83,1,0,0
2018-03-07,10.0,10.13,9.95,10.08,1407338,14185967.04,1,0,0
2018-03-08,10.24,10.4,10.19,10.35,3415799,35353519.65,1,0,0
2018-03-09,10.15,10.2,10.05,10.1,4871281,49199938.1,1,0,0
2018-03-12,10.14,10.38,10.09,10.33,2124750,21948667.5,1,0,0
2018-03-13,10.25,10.3,9.82,9.87,3655475,36079538.25,1,0,0
2018-03-14,9.97,10.02,9.5,9.55,3204512,30603089.6,1,0,0
2018-03-15,9.48,9.85,9.43,9.8,2455464,24063547.2,1,0,0
2018-03-16,9.9,10.17,9.85,10.12,1428898,14460447.76,1,0,0
2018-03-19,10.02,10.13,9.97,10.08,1198890,12084811.2,1,0,0
2018-03-20,10.04,10.09,9.53,9.58,808737,7747700.46,1,1,1
2018-03-21,9.56,9.61,9.05,9.1,2897376,26366121.6,1,1,1
2018-03-22,9.16,9.21,8.6,8.64,1461713,12629200.32,1,1,1
2018-03-23,8.7,8.74,8.17,8.21,2389493,19617737.53,1,1,1
2018-03-26,8.05,8.09,7.76,7.8,651558,5082152.4,1,1,1
2018-03-27,7.69,7.73,7.37,7.41,1280817,9490853.97,1,1,1
2018-03-28,7.51,7.55,7.0,7.04,2198812,15479636.48,1,1,1
2018-03-29,7.03,7.07,6.66,6.69,4697924,31429111.56,1,1,1
2018-03-30,6.55,6.58,6.33,6.36,2504326,15927513.36,1,1,1
2018-04-02,6.4,6.43,6.01,6.04,1352887,8171437.48,1,1,1
2018-04-03,6.08,6.11,5.71,5.74,4503698,25851226.52,1,1,1
2018-04-04,5.67,5.7,5.42,5.45,2787203,15190256.35,1,1,1
2018-04-05,5.59,5.62,5.15,5.18,3513406,18199443.08,1,1,1
2018-04-06,5.33,5.36,4.9,4.92,3833970,18863132.4,1,1,1
2018-04-09,4.9,4.92,4.65,4.67,4932489,23034723.63,1,1,1
