date,open,high,low,close,volume,amount,tradable,is_st,is_delisted
2018-01-02,29.81,30.67,29.8,30.56,6372753,194751331.68,1,0,0
2018-01-03,30.43,30.65,30.1,30.16,2210041,66654836.56,1,0,0
2018-01-04,30.1,30.13,29.85,29.97,4815362,144316399.14,1,0,0
2018-01-05,30.16,30.47,29.83,30.23,13483570,407608321.1,1,0,0
2018-01-08,30.3,31.01,30.27,30.69,6123158,187919719.02,1,0,0
2018-01-09,30.77,30.82,30.07,30.1,12669208,381343160.8,1,0,0
2018-01-10,29.97,30.3,29.74,29.84,2069276,61747195.84,1,0,0
2018-01-11,30.03,30.31,29.84,30.14,13626072,410689810.08,1,0,0
2018-01-12,30.2,30.25,29.6,29.68,2327618,69083702.24,1,0,0
2018-01-15,29.77,29.77,29.23,29.42,10795601,317606581.42,1,0,0
2018-01-16,29.39,29.54,29.34,29.54,14953202,441717587.08,1,0,0
2018-01-17,29.73,30.0,29.57,29.58,13544417,400643854.86,1,0,0
2018-01-18,29.51,29.52,29.38,29.39,13018529,382614567.31,1,0,0
2018-01-19,29.21,29.46,29.2,29.44,8570823,252325029.12,1,0,0
2018-01-22,29.34,29.5,29.07,29.11,10741402,312682212.22,1,0,0
2018-01-23,29.12,29.58,28.8,29.48,13128139,387017537.72,1,0,0
2018-01-24,29.59,29.6,29.53,29.53,14080125,415786091.25,1,0,0
2018-01-25,29.61,29.68,29.19,29.29,12761138,373773732.02,1,0,0
2018-01-26,29.12,29.35,29.02,29.3,8774113,257081510.9,1,0,0
2018-01-29,29.4,29.65,29.25,29.55,5733783,169433287.65,1,0,0
2018-01-30,29.5,30.02,29.35,29.93,12596586,377015818.98,1,0,0
2018-01-31,29.74,29.81,29.59,29.77,7241498,215579395.46,1,0,0
2018-02-01,29.8,30.61,29.68,30.44,3206053,97592253.32,1,0,0
2018-02-02,30.36,30.75,30.16,30.67,8461818,259523958.06,1,0,0
2018-02-05,30.78,30.92,30.72,30.77,8892519,273622809.63,1,0,0
2018-02-06,30.64,31.4,30.59,31.21,12618928,393836742.88,1,0,0
2018-02-07,31.09,31.53,31.05,31.45,13779293,433358764.85,1,0,0
2018-02-08,31.41,31.98,31.3,31.82,12719398,404731244.36,1,0,0
2018-02-09,31.79,31.81,31.27,31.36,12365097,387769441.92,1,0,0
2018-02-12,31.5,31.57,30.77,31.17,5873823,183087062.91,1,0,0
2018-02-13,31.07,31.61,31.07,31.54,13980596,440947997.84,1,0,0
2018-02-14,31.49,31.5,31.03,31.13,8275317,257610618.21,1,0,0
2018-02-15,31.05,31.17,30.43,30.65,5371176,164626544.4,1,0,0
2018-02-16,30.54,31.08,30.48,30.72,10495479,322421114.88,1,0,0
2018-02-19,30.69,31.09,30.67,31.05,6441263,200001216.15,1,0,0
2018-02-20,30.9,30.96,30.61,30.81,3522818,108538022.58,1,0,0
2018-02-21,30.91,30.94,30.46,30.49,5298465,161550197.85,1,0,0
2018-02-22,30.53,30.78,30.2,30.29,4531766,137267192.14,1,0,0
2018-02-23,30.2,30.21,30.02,30.16,2466847,74400105.52,1,0,0
2018-02-26,30.08,30.22,29.22,29.37,8264625,242732036.25,1,0,0
2018-02-27,29.47,29.72,29.27,29.36,11544711,338952714.96,1,0,0
2018-02-28,29.41,29.46,29.18,29.19,10426092,304337625.48,1,0,0
2018-03-01,29.42,29.57,29.4,29.42,13162711,387246957.62,1,0,0
2018-03-02,29.43,29.49,29.39,29.47,8601062,253473297.14,1,0,0
2018-03-05,29.47,29.73,29.38,29.47,2525215,74418086.05,1,0,0
2018-03-06,29.51,30.37,29.51,30.2,11269367,340334883.4,1,0,0
2018-03-07,30.21,30.24,29.85,29.93,11961661,358012513.73,1,0,0
2018-03-08,29.82,30.45,29.76,30.3,3607366,109303189.8,1,0,0
2018-03-09,30.39,30.43,29.43,29.53,5321919,157156268.07,1,0,0
2018-03-12,29.64,29.75,29.19,29.29,11893119,348349455.51,1,0,0
2018-03-13,29.4,29.54,28.67,28.75,4554773,130949723.75,1,0,0
2018-03-14,28.8,29.36,28.78,29.29,8773486,256975404.94,1,0,0
2018-03-15,29.41,30.0,29.4,29.71,10190738,302766825.98,1,0,0
2018-03-16,29.68,29.9,29.45,29.89,11113271,332175670.19,1,0,0
2018-03-19,29.65,30.45,29.47,30.29,2986901,90473231.29,1,0,0
2018-03-20,30.27,30.33,29.77,29.95,14106377,422485991.15,1,0,0
2018-03-21,29.82,29.83,29.42,29.47,12349662,363944539.14,1,0,0
2018-03-22,29.28,29.51,29.04,29.09,9631523,280181004.07,1,0,0
2018-03-23,29.13,29.24,28.81,28.9,11758766,339828337.4,1,0,0
2018-03-26,29.14,29.32,28.67,28.67,2604260,74664134.2,1,0,0
2018-03-27,28.71,29.02,28.61,28.91,9196334,265866015.94,1,0,0
2018-03-28,28.98,29.55,28.96,29.42,12611760,371037979.2,1,0,0
2018-03-29,29.44,29.63,28.74,28.79,7972879,229539186.41,1,0,0
2018-03-30,28.81,28.85,28.55,28.77,2689591,77379533.07,1,0,0
2018-04-02,28.9,29.21,28.63,29.14,11774146,343098614.44,1,0,0
2018-04-03,29.1,29.18,28.75,28.88,3819190,110298207.2,1,0,0
2018-04-04,28.66,29.05,28.65,28.75,13397969,385191608.75,1,0,0
2018-04-05,28.94,29.03,28.56,28.88,14273832,412228268.16,1,0,0
2018-04-06,28.97,29.09,28.55,28.62,4781939,136859094.18,1,0,0
2018-04-09,28.72,29.01,28.61,28.96,9322022,269965757.12,1,0,0
