date,open,high,low,close,volume,amount,tradable,is_st,is_delisted
2018-01-02,30.07,30.53,29.43,29.93,9715785,290793445.05,1,0,0
2018-01-03,30.12,30.57,30.05,30.53,14338199,437745215.47,1,0,0
2018-01-04,30.41,31.15,30.23,30.9,14034416,433663454.4,1,0,0
2018-01-05,30.75,31.54,30.59,31.17,13998661,436338263.37,1,0,0
2018-01-08,31.28,31.94,30.78,31.75,10562472,335358486.0,1,0,0
2018-01-09,31.47,32.21,31.45,32.13,10637168,341772207.84,1,0,0
2018-01-10,32.35,32.84,32.08,32.49,10641168,345731548.32,1,0,0
2018-01-11,32.43,32.52,32.37,32.48,13727495,445869037.6,1,0,0
2018-01-12,32.35,33.71,32.25,33.55,13688028,459233339.4,1,0,0
2018-01-15,33.62,36.57,33.61,36.34,5462197,198496238.98,1,0,0
2018-01-16,36.3,38.2,35.77,37.47,5110993,191508907.71,1,0,0
2018-01-17,37.51,39.29,37.2,39.08,10930752,427173788.16,1,0,0
2018-01-18,39.22,40.54,39.01,40.29,13362223,538363964.67,1,0,0
2018-01-19,40.78,42.14,40.45,41.76,2666672,111360222.72,1,0,0
2018-01-22,41.59,43.06,41.49,42.62,11908560,507542827.2,1,0,0
2018-01-23,42.81,42.88,42.65,42.68,3818440,162971019.2,1,0,0
2018-01-24,42.41,44.06,42.31,44.01,13302058,585423572.58,1,0,0
2018-01-25,44.04,46.3,43.62,45.39,9364366,425048572.74,1,0,0
2018-01-26,45.24,45.9,45.16,45.2,4220776,190779075.2,1,0,0
2018-01-29,44.97,47.06,44.58,46.78,8675668,405847749.04,1,0,0
2018-01-30,47.57,47.79,43.82,44.41,10766520,478141153.2,1,0,0
2018-01-31,44.92,46.79,44.44,46.76,11929146,557806866.96,1,0,0
2018-02-01,46.57,48.1,46.51,47.89,3602644,172530621.16,1,0,0
2018-02-02,47.76,50.31,47.72,50.0,2250957,112547850.0,1,0,0
2018-02-05,50.34,50.76,50.21,50.63,9481350,480040750.5,1,0,0
2018-02-06,50.26,51.09,49.9,50.56,10369677,524290869.12,1,0,0
2018-02-07,50.06,51.52,48.72,51.41,2689397,138261899.77,1,0,0
2018-02-08,51.14,54.6,51.07,54.57,5465935,298276072.95,1,0,0
2018-02-09,55.18,55.49,53.18,53.76,5438421,292369512.96,1,0,0
2018-02-12,53.37,54.63,53.09,53.93,14898038,803451189.34,1,0,0
2018-02-13,53.82,58.62,52.49,58.19,14988019,872152825.61,1,0,0
2018-02-14,57.92,59.4,56.88,58.76,3754262,220600435.12,1,0,0
2018-02-15,58.75,62.55,58.42,62.08,13698935,850429884.8,1,0,0
2018-02-16,61.97,66.02,61.2,65.81,13213177,869559178.37,1,0,0
2018-02-19,65.74,68.8,65.23,67.87,8440748,572873566.76,1,0,0
2018-02-20,68.02,68.64,67.32,67.39,2370497,159747792.83,1,0,0
2018-02-21,67.64,68.6,66.29,67.86,14231689,965762415.54,1,0,0
2018-02-22,68.2,68.79,66.73,67.25,11258753,757151139.25,1,0,0
2018-02-23,66.89,71.18,66.6,69.98,14057595,983750498.1,1,0,0
2018-02-26,70.09,73.59,69.69,72.42,7691944,557050584.48,1,0,0
2018-02-27,72.11,74.44,71.66,74.35,14938879,1110705653.65,1,0,0
2018-02-28,74.84,78.18,73.19,76.28,12982541,990308227.48,1,0,0
2018-03-01,76.68,77.03,73.35,74.7,5555179,414971871.3,1,0,0
2018-03-02,74.83,75.53,74.39,75.03,6267401,470243097.03,1,0,0
2018-03-05,74.81,77.27,74.44,76.56,2794625,213956490.0,1,0,0
2018-03-06,75.89,76.87,75.6,76.73,6512485,499702974.05,1,0,0
2018-03-07,75.87,78.85,75.65,78.37,2095362,164213519.94,1,0,0
2018-03-08,78.41,78.97,77.71,78.26,5111275,400008381.5,1,0,0
2018-03-09,77.45,78.54,76.73,77.7,4649424,361260244.8,1,0,0
2018-03-12,77.66,82.77,77.29,82.66,11463887,947604899.42,1,0,0
2018-03-13,82.83,84.15,81.99,83.47,3284944,274194275.68,1,0,0
2018-03-14,83.12,89.29,82.46,87.89,8321040,731336205.6,1,0,0
2018-03-15,87.49,90.4,87.04,88.78,8529717,757268275.26,1,0,0
2018-03-16,89.32,95.84,88.67,95.18,11662924,1110077106.32,1,0,0
2018-03-19,94.59,97.76,94.03,97.51,3421427,333623346.77,1,0,0
2018-03-20,97.43,99.88,96.38,96.93,7420134,719233588.62,1,0,0
2018-03-21,96.0,101.85,95.71,100.2,7950621,796652224.2,1,0,0
2018-03-22,99.96,101.19,96.66,97.64,4811413,469786365.32,1,0,0
2018-03-23,97.09,98.37,96.68,97.95,11139914,1091154576.3,1,0,0
2018-03-26,98.33,100.08,98.04,98.04,11734602,1150460380.08,1,0,0
2018-03-27,97.37,101.78,97.05,100.93,12078873,1219120651.89,1,0,0
2018-03-28,100.62,102.62,99.89,102.61,13884938,1424733488.18,1,0,0
2018-03-29,102.22,103.82,99.92,100.17,2057364,206086151.88,1,0,0
2018-03-30,99.47,105.44,99.18,102.76,2845957,292450541.32,1,0,0
2018-04-02,103.17,105.64,102.9,104.83,14486621,1518632479.43,1,0,0
2018-04-03,104.84,105.08,103.19,103.49,2904847,300622616.03,1,0,0
2018-04-04,103.03,103.11,102.75,103.03,5174779,533157480.37,1,0,0
2018-04-05,102.04,105.75,101.86,105.59,11436174,1207545612.66,1,0,0
2018-04-06,105.72,111.07,104.11,110.16,2281335,251311863.6,1,0,0
2018-04-09,108.82,116.25,107.08,116.09,5622978,652771516.02,1,0,0
